Class,Genes
Ophthamological,"TGFBI, CSD2, CDGG1, CSD, BIGH3, CDG2"
Ophthamological,"PIP5K3, CFD"
Ophthamological,"KERA, CNA2"
Developmental,"NIPBL, CDLS"
Cardiovascular,"MEF2A, ADCAD1"
Cardiovascular,"ABCA1, ABC1, HDLDT1, TGD"
Cardiovascular,KL
Cardiovascular,"PON1, PON, ESA"
Cardiovascular,PON2
Cardiovascular,"PON1, PON, ESA"
Cardiovascular,"MMP3, STMY1"
Cardiovascular,NOS3
Neurological,IGBP1
Endocrine,"NR3C1, GCR, GRL"
Metabolic,GDH
Metabolic,"HSD11B1, HSD11, HSD11L"
multiple,HRAS
Hematological,"CYP2A6, CYP2A3, CYP2A, P450C2A"
Cancer,"PTEN, MMAC1"
Cancer,"BMPR1A, ACVRLK3, ALK3"
Metabolic,CPT1A
Metabolic,CPT2
Metabolic,CPT2
Muscular,"SCN4A, HYPP, NAC1A"
multiple,"VSX1, RINX, PPCD, PPD, KTCN"
multiple,"PAX3, WS1, HUP2, CDHS"
multiple,"FGFR2, BEK, CFD1, JWS"
Skeletal,"EFNB1, EPLG2, CFNS, CFND"
Bone,"ANKH, HANK, ANK, CMDJ, CCAL2, CPPDD"
Skeletal,"FGFR2, BEK, CFD1, JWS"
Skeletal,"MSX2, CRS2, HOX8"
multiple,"L1CAM, CAML1, HSAS1"
Neurological,"SLC6A8, CRTR"
Metabolic,"CAV3, LGMD1C"
Metabolic,"CAV3, LGMD1C"
Neurological,"PRNP, PRIP"
Neurological,HLA-DQB1
multiple,"UGT1A1, UGT1, GNT1"
multiple,"UGT1A1, UGT1, GNT1"
Gastrointestinal,"CARD15, NOD2, IBD1, CD, ACUG, PSORAS1"
Gastrointestinal,"DLG5, PDLG, KIAA0583"
Skeletal,"FGFR2, BEK, CFD1, JWS"
Skeletal,"FGFR3, ACH"
Renal,"LGR8, GREAT"
Renal,INSL3
Skeletal,"HLXB9, HOXHB9, SCRA1"
Connective tissue,ELN
Connective tissue,"FBLN5, ARMD3"
Connective tissue,"FBLN5, ARMD3"
Connective tissue,"ATP7A, MNK, MK, OHS"
Dermatological,KRT1
Dermatological,"CYLD1, CDMT, EAC"
Metabolic,CTH
Respiratory,"CFTR, ABCC7, CF, MRP7"
Renal,CTNS
Renal,CTNS
Renal,CTNS
Renal,CTNS
Renal,"SLC3A1, ATR1, D2H, NBAT"
Renal,"SLC7A9, CSNU3"
Renal,"SLC7A9, CSNU3"
Metabolic,D2HGD
Dermatological,"ATP2A2, ATP2B, DAR"
Metabolic,HSD17B4
"Ear,Nose,Throat","EYA4, DFNA10, CMD1J"
"Ear,Nose,Throat","DIAPH1, DFNA1, LFHL1"
"Ear,Nose,Throat","MYO7A, USH1B, DFNB2, DFNA11"
"Ear,Nose,Throat","TECTA, DFNA8, DFNA12, DFNB21"
"Ear,Nose,Throat","COL11A2, STL3, DFNA13"
"Ear,Nose,Throat","POU4F3, BRN3C"
"Ear,Nose,Throat","MYH9, MHA, FTNS, DFNA17"
"Ear,Nose,Throat","ACTG1, DFNA20, DFNA26"
"Ear,Nose,Throat","MYO6, DFNA22, DFNB37"
"Ear,Nose,Throat","GJB3, CX31, DFNA2"
"Ear,Nose,Throat","KCNQ4, DFNA2"
"Ear,Nose,Throat","TFCP2L3, DFNA28"
"Ear,Nose,Throat","GJB2, CX26, DFNB1, PPK, DFNA3, KID, HID"
"Ear,Nose,Throat","GJB6, CX30, DFNA3, HED, ED2"
"Ear,Nose,Throat","TMC1, DFNB7, DFNB11, DFNA36"
"Ear,Nose,Throat","DSPP, DPP, DGI1, DFNA39, DTDP2"
"Ear,Nose,Throat","CRYM, DFNA40"
"Ear,Nose,Throat","MYH14, KIAA2034, DFNA4"
"Ear,Nose,Throat",DFNA5
"Ear,Nose,Throat","TECTA, DFNA8, DFNA12, DFNB21"
"Ear,Nose,Throat","COCH, DFNA9"
"Ear,Nose,Throat",MYO1A
"Ear,Nose,Throat","GJB3, CX31, DFNA2"
"Ear,Nose,Throat","TMPRSS3, ECHOS1, DFNB8, DFNB10"
"Ear,Nose,Throat","GJB2, CX26, DFNB1, PPK, DFNA3, KID, HID"
"Ear,Nose,Throat","CDH23, USH1D"
"Ear,Nose,Throat","ATP2B2, PMCA2"
"Ear,Nose,Throat","STRC, DFNB16"
"Ear,Nose,Throat","USH1C, DFNB18"
"Ear,Nose,Throat","TECTA, DFNA8, DFNA12, DFNB21"
"Ear,Nose,Throat","OTOA, DFNB22"
"Ear,Nose,Throat","PCDH15, DFNB23"
"Ear,Nose,Throat","CLDN14, DFNB29"
"Ear,Nose,Throat","MYO7A, USH1B, DFNB2, DFNA11"
"Ear,Nose,Throat","MYO3A, DFNB30"
"Ear,Nose,Throat","WHRN, CIP98, KIAA1526, DFNB31"
"Ear,Nose,Throat","MYO15A, DFNB3"
"Ear,Nose,Throat",ESPN
"Ear,Nose,Throat","MYO6, DFNA22, DFNB37"
"Ear,Nose,Throat","GJB3, CX31, DFNA2"
"Ear,Nose,Throat","SLC26A4, PDS, DFNB4"
"Ear,Nose,Throat","PRES, DFNB61, SLC26A5"
"Ear,Nose,Throat","TMIE, DFNB6"
"Ear,Nose,Throat","TMC1, DFNB7, DFNB11, DFNA36"
"Ear,Nose,Throat","TMPRSS3, ECHOS1, DFNB8, DFNB10"
"Ear,Nose,Throat","OTOF, DFNB9, NSRD9"
"Ear,Nose,Throat","JAG1, AGS, AHD"
"Ear,Nose,Throat",KIAA1199
"Ear,Nose,Throat","GJB6, CX30, DFNA3, HED, ED2"
"Ear,Nose,Throat","MYO6, DFNA22, DFNB37"
"Ear,Nose,Throat","TIMM8A, DFN1, DDP, MTS, DDP1"
"Ear,Nose,Throat","POU3F4, DFN3"
Metabolic,"CYP2D@, CYP2D, P450C2D"
multiple,"PMP22, CMT1A, CMT1E, DSS"
multiple,"EGR2, KROX20"
multiple,"PRX, CMT4F"
multiple,"MPZ, CMT1B, CMTDI3, CHM, DSS"
Psychiatric,"AANAT, SNAT"
Neurological,"ITM2B, BRI, ABRI, FBD"
Neurological,"ITM2B, BRI, ABRI, FBD"
Neurological,"PSEN1, AD3"
Neurological,"MAPT, MTBT1, DDPAC, MSTD"
Neurological,"SNCA, NACP, PARK1, PARK4"
Neurological,SNCB
Neurological,"MAPT, MTBT1, DDPAC, MSTD"
Neurological,"TNF, TNFA"
Immunological,"CD209, CDSIGN"
Skeletal,"RUNX2, CBFA1, PEBP2A1, AML3"
Neurological,DRPLA
Renal,"CLCN5, CLCK2, NPHL2, DENTS"
Bone,"DSPP, DPP, DGI1, DFNA39, DTDP2"
Bone,"DSPP, DPP, DGI1, DFNA39, DTDP2"
Bone,"DSPP, DPP, DGI1, DFNA39, DTDP2"
Renal,"OCRL, LOCR, OCRL1, NPHL2"
Renal,WT1
Cancer,"PDGFB, SIS"
multiple,"ERCC6, CKN2, COFS, CSB"
Cancer,"APC, GS, FPC"
Metabolic,"DHCR24, KIAA0018"
Endocrine,"AVPR2, DIR, DI1, ADHR"
Endocrine,AQP2
Endocrine,AQP2
Endocrine,"AVP, AVRP, VP"
Endocrine,"ABCC8, SUR, PHHI, SUR1"
Endocrine,"TCF1, HNF1A, MODY3"
Endocrine,"SUMO4, IDDM5"
Endocrine,"PTPN8, PEP, PTPN22, LYP"
Endocrine,INSR
Endocrine,"PPARG, PPARG1, PPARG2"
Endocrine,GCK
Endocrine,GCGR
Endocrine,GPD2
Endocrine,"HNF4A, TCF14, MODY1"
Endocrine,IRS2
Endocrine,"MAPK8IP1, IB1"
Endocrine,"NEUROD1, NIDDM"
Endocrine,"TCF2, HNF2"
Endocrine,"TCF1, HNF1A, MODY3"
Endocrine,IRS1
Endocrine,"SLC2A2, GLUT2"
Endocrine,"SLC2A4, GLUT4"
Endocrine,CAPN10
Endocrine,"ENPP1, PDNP1, NPPS, M6S1, PCA1"
Endocrine,"RETN, RSTN, FIZZ3"
Endocrine,PTF1A
Endocrine,"KCNJ11, BIR, PHHI"
Endocrine,AKT2
Endocrine,IPF1
Endocrine,"FOXP3, IPEX, AIID, XPID, PIDX"
Endocrine,"KCNJ11, BIR, PHHI"
Endocrine,"ACE, DCP1, ACE1"
Endocrine,VEGF
Skeletal,"SLC26A2, DTD, DTDST, D5S1708, EDM4"
Skeletal,"SLC26A2, DTD, DTDST, D5S1708, EDM4"
multiple,"TBX1, DGS, CTHM, CAFS, TGA, DORV, VCFS, DGCR"
Metabolic,"DPYS, DHP"
multiple,"DSP, KPPS2, PPKS2"
Metabolic,"DMGDH, DMGDHD"
Metabolic,POR
Connective tissue,COL1A1
multiple,LIG1
Metabolic,TOP1
Metabolic,"TOP2A, TOP2"
Metabolic,DBH
Metabolic,DBH
Endocrine,"DAX1, AHC, AHX, NROB1"
Cardiovascular,"CFC1, CRYPTIC, HTX2"
multiple,MTR
Ophthamological,"EFEMP1, FBNL, DHRD"
Psychiatric,FAAH
multiple,"SALL4, HSAL4"
Metabolic,"ABCC2, CMOAT"
Muscular,"DMD, BMD"
multiple,"DYM, FLJ90130, DMC, SMC"
Hematological,ALB
Neurological,"IKBKAP, IKAP"
Dermatological,"ADAR, DRADA, DSH, DSRAD"
Hematological,"GATA1, GF1, ERYF1, NFE1"
Hematological,FGA
Hematological,FGA
Hematological,FGB
Hematological,FGG
Dermatological,"DKC1, DKC"
Dermatological,"TERC, TRC3, TR"
Psychiatric,"DYX1C1, DYXC1, DYX1"
Psychiatric,"KIAA0319, DYX2, DYLX2, DLX2"
Hematological,F2
Neurological,"HSPG2, PLC, SJS, SJA, SJS1"
Neurological,"ATP1A3, DYT12, RDP"
Neurological,"DYT1, TOR1A"
Neurological,"GCH1, DYT5"
Neurological,"DYT1, TOR1A"
Neurological,DRD2
Neurological,"SGCE, DYT11"
Neurological,"DRD5, DRD1B, DRD1L2"
Hematological,"TTR, PALB"
Dermatological,COL7A1
Dermatological,COL7A1
Dermatological,"ED1, EDA, HED"
Dermatological,"GJB6, CX30, DFNA3, HED, ED2"
Dermatological,EDARADD
Dermatological,"IKBKG, NEMO, FIP3, IP2"
Dermatological,"NFKBIA, IKBA"
Dermatological,"EDAR, DL, ED3, EDA3"
Dermatological,"EDAR, DL, ED3, EDA3"
Dermatological,"IKBKG, NEMO, FIP3, IP2"
Dermatological,"HVEC, PVRL1, PVRR1, PRR1"
Dermatological,PKP1
Ophthamological,"FBN1, MFS1, WMS"
Ophthamological,"PAX6, AN2, MGDA"
Skeletal,"TP73L, TP63, KET, EEC3, SHFM4, LMS, RHS"
Connective tissue,"TNXB, TNX, TNXB1, TNXBS, TNXB2"
Connective tissue,"TNXB, TNX, TNXB1, TNXBS, TNXB2"
Connective tissue,"B4GALT7, XGALT1, XGPT1"
Connective tissue,COL1A1
Connective tissue,COL5A1
Connective tissue,COL5A2
Connective tissue,COL5A1
Connective tissue,COL3A1
Connective tissue,COL3A1
Connective tissue,"PLOD, PLOD1"
Connective tissue,COL1A1
Connective tissue,COL1A2
Connective tissue,"ADAMTS2, NPI"
Muscular,ACTN3
Hematological,"EPB41, EL1"
Hematological,SPTA1
Hematological,SPTB
Hematological,"SLC4A1, AE1, EPB3"
Skeletal,EVC
Skeletal,"LBN, EVC2"
Muscular,"EMD, EDMD, STA"
Muscular,"LMNA, LMN1, EMD2, FPLD, CMD1A, HGPS, LGMD1B"
Muscular,"LMNA, LMN1, EMD2, FPLD, CMD1A, HGPS, LGMD1B"
Respiratory,"PI, AAT"
Respiratory,"PI, AAT"
Neurological,"SERPINI1, PI12"
Neurological,COX10
Cancer,"PTHR1, PTHR"
Cancer,"CDH1, UVO"
Cancer,MSH3
Cancer,"MSH6, GTBP, HNPCC5"
Cancer,"PTEN, MMAC1"
Immunological,TLR4
Neurological,"COLQ, EAD"
Ophthamological,"NR2E3, PNR, ESCS"
"Ear,Nose,Throat","SLC26A4, PDS, DFNB4"
Metabolic,ENO3
Gastrointestinal,"PRSS7, ENTK"
Hematological,EPX
Dermatological,"EVER1, EV1"
Dermatological,"EVER2, EV2"
Dermatological,COL7A1
Dermatological,COL7A1
Dermatological,"COL17A1, BPAG2"
Dermatological,ITGB4
Dermatological,"LAMA3, LOCS"
Dermatological,LAMB3
Dermatological,"LAMC2, LAMNB2, LAMB2T"
Dermatological,LAMB3
Dermatological,"LAMC2, LAMNB2, LAMB2T"
Dermatological,"LAMA3, LOCS"
Dermatological,ITGB4
Dermatological,ITGA6
Dermatological,"DSP, KPPS2, PPKS2"
Dermatological,ITGB4
Dermatological,COL7A1
Dermatological,COL7A1
Dermatological,KRT14
Dermatological,KRT5
Dermatological,"PLEC1, PLTN, EBS1"
Dermatological,KRT14
Dermatological,KRT5
Dermatological,KRT10
Dermatological,KRT1
Dermatological,"KRT9, EPPK"
Neurological,"KCNQ2, EBN1"
Neurological,"KCNQ3, EBN2, BFNC2"
Neurological,"GABRG2, GEFSP3, CAE2, ECA2"
Neurological,"CLCN2, EGMA, ECA3, EGI3"
Neurological,"JRK, JH8"
Neurological,"CACNB4, EJM"
Neurological,"GABRG2, GEFSP3, CAE2, ECA2"
Neurological,"SCN1A, GEFSP2, SMEI"
Neurological,ME2
Neurological,"CLCN2, EGMA, ECA3, EGI3"
Neurological,"CACNB4, EJM"
Neurological,"CLCN2, EGMA, ECA3, EGI3"
Neurological,"GABRA1, EJM"
Neurological,"EPM2A, MELF, EPM2"
Neurological,"NHLRC1, EPM2A, EPM2B"
Neurological,"SLC25A22, GC1"
Neurological,"CHRNA4, ENFL1"
Neurological,"CHRNB2, EFNL3"
Neurological,"LGI1, EPT, ETL1"
Neurological,"CSTB, STFB, EPM1"
Neurological,"NHLRC1, EPM2A, EPM2B"
Neurological,"SCN1A, GEFSP2, SMEI"
Neurological,"CLCN2, EGMA, ECA3, EGI3"
Neurological,SYN1
Bone,"COMP, EDM1, MED, PSACH"
Bone,"SLC26A2, DTD, DTDST, D5S1708, EDM4"
Bone,"COL9A3, EDM3, IDD"
Bone,"MATN3, EDM5, HOA"
Bone,"COL9A1, MED"
Bone,"COL9A2, EDM2"
Bone,"COL9A3, EDM3, IDD"
Neurological,"KCNA1, AEMK, EA1"
Neurological,"CACNA1A, CACNL1A4, SCA6"
Cancer,OPCML
Hematological,"MYH9, MHA, FTNS, DFNA17"
Neurological,"SCN9A, NENA, PN1"
Hematological,HBA1
Hematological,HBB
Hematological,HBA2
Hematological,EPOR
Dermatological,LOR
Dermatological,"GJB3, CX31, DFNA2"
Dermatological,"GJB4, CX30.3"
Cancer,"TGFBR2, HNPCC6"
Cancer,RNF6
Cancer,"LZTS1, F37, FEZ1"
Cancer,"WWOX, FOR"
Endocrine,"ESR1, ESR"
Metabolic,"ETHE1, HSCO, D83198"
Cancer,"EWSR1, EWS"
Metabolic,"LDHA, LDH1"
Bone,EXT1
Bone,EXT2
Ophthamological,"FZD4, EVR1"
Ophthamological,"LRP5, BMND1, LRP7, LR3, OPPG, VBCH2"
Ophthamological,"LRP5, BMND1, LRP7, LR3, OPPG, VBCH2"
Ophthamological,"NDP, ND"
Ophthamological,"PAX6, AN2, MGDA"
Unclassified,NPC1L1
Metabolic,GLA
Muscular,"FSHMD1A, FSHD1A"
Hematological,"HF1, CFH, HUS"
Hematological,MCFD2
Hematological,F7
Hematological,F10
Hematological,F11
Hematological,F11
Hematological,"F12, HAF"
Hematological,"F13A1, F13A"
Hematological,F13B
Immunological,"MEFV, MEF, FMF"
multiple,"FANCA, FACA, FA1, FA, FAA"
multiple,"FAAP95, FAAP90, FLJ34064, FANCB"
multiple,"FANCC, FACC"
multiple,"BRCA2, FANCD1"
multiple,"FANCD2, FANCD, FACD, FAD"
multiple,"FANCE, FACE"
multiple,FANCF
multiple,"XRCC9, FANCG"
multiple,"BRIP1, BACH1, FANCJ"
multiple,"PHF9, FANCL"
multiple,"FANCM, KIAA1596"
Metabolic,"SLC2A2, GLUT2"
Metabolic,"ASAH, AC"
Metabolic,"HADHA, MTPA"
Metabolic,"G6PD, G6PD1"
multiple,"MYH9, MHA, FTNS, DFNA17"
multiple,"MYCN, NMYC, ODED, MODED"
Endocrine,"GNRHR, LHRHR"
Gastrointestinal,"SPINK1, PSTI, PCTT, TATI"
Connective tissue,"SOS1, GINGF, GF1, HGF"
Connective tissue,"ANTXR2, CMG2, JHF, ISH"
Ophthamological,"KIF21A, KIAA1708, FEOM1, CFEOM1"
Ophthamological,"PHOX2A, ARIX, CFEOM2"
Skeletal,"GDF5, CDMP1"
Metabolic,LCAT
Metabolic,FMO3
Hematological,KNG
Metabolic,"DPYD, DPD"
Developmental,"TSC1, LAM"
Endocrine,FSHB
Neurological,TDGF1
Ophthamological,"PAX6, AN2, MGDA"
Ophthamological,"RDS, RP7, PRPH2, PRPH, AVMD, AOFMD"
Neurological,"FMR1, FRAXA"
multiple,FRAS1
multiple,FREM2
multiple,WT1
Neurological,"FRDA, FARR"
Neurological,"FRDA, FARR"
Skeletal,"FLNA, FLN1, ABPX, NHBP, OPD1, OPD2, FMD, MNS"
Metabolic,FBP1
Metabolic,ALDOB
Metabolic,KHK
Ophthamological,"COL8A2, FECD, PPCD2"
Metabolic,FUCA1
Metabolic,FUT6
Metabolic,FH
Ophthamological,RDH5
Ophthamological,RLBP1
Ophthamological,"ABCA4, ABCR, STGD1, FFM, RP19"
Metabolic,"G6PD, G6PD1"
Metabolic,"ABAT, GABAT"
Metabolic,GALK1
Metabolic,GALE
Metabolic,GALT
Metabolic,"PPGB, GSL, NGBE, GLB2, CTSA"
Metabolic,GAMT
Cancer,"APC, GS, FPC"
Cancer,"APC, GS, FPC"
Cancer,"IRF1, MAR"
Cancer,"CDH1, UVO"
Cancer,IL1B
Cancer,IL1RN
Cancer,"CASP10, MCH4, ALPS2"
Cancer,"ERBB2, NGL, NEU, HER2"
Cancer,"FGFR2, BEK, CFD1, JWS"
Cancer,"KLF6, COPEB, BCD1, ZF9"
Cancer,MUTYH
Cancer,"KIT, PBT"
Cancer,PDGFRA
Metabolic,GBA
Metabolic,"PSAP, SAP1"
Metabolic,GBA
Neurological,"ROBO3, RBIG1, RIG1, HGPPS"
Neurological,"KCNMA1, SLO"
Neurological,"SCN1B, GEFSP1"
Cancer,BCL10
Cancer,"KIT, PBT"
Neurological,"PRNP, PRIP"
Neurological,"GAN, GAN1"
Cancer,"PDGFB, SIS"
Gastrointestinal,CYP7B1
Hematological,GP1BB
Metabolic,"UGT1A1, UGT1, GNT1"
Renal,"SLC12A3, NCCT, TSC"
Hematological,"ITGA2B, GP2B, CD41B"
Hematological,"ITGB3, GP3A"
Ophthamological,"MYOC, TIGR, GLC1A, JOAG, GPOA"
Ophthamological,"MYOC, TIGR, GLC1A, JOAG, GPOA"
Ophthamological,"OPTN, GLC1E, FIP2, HYPL, NRP"
Ophthamological,"CYP1B1, GLC3A"
Ophthamological,"CYP1B1, GLC3A"
Ophthamological,"MYOC, TIGR, GLC1A, JOAG, GPOA"
Ophthamological,"OPA1, NTG, NPG"
Ophthamological,"OPTN, GLC1E, FIP2, HYPL, NRP"
Ophthamological,"CYP1B1, GLC3A"
Ophthamological,"CYP1B1, GLC3A"
Cancer,"MSH2, COCA1, FCC1, HNPCC1"
Cancer,DMBT1
Cancer,"ERBB2, NGL, NEU, HER2"
Cancer,"LGI1, EPT, ETL1"
Cancer,"PPARG, PPARG1, PPARG2"
Renal,"TCF2, HNF2"
Renal,"ACTN4, FSGS1, FSGS"
Renal,"TRPC6, TRP6, FSGS2"
Renal,"CD2AP, CMS"
Cardiovascular,"GLML, GVM, VMGLOM"
Endocrine,"MRAP, FALP, C21orf61"
Endocrine,MC2R
Metabolic,"SLC5A1, SGLT1"
Metabolic,"SLC2A1, GLUT1"
Metabolic,GCS1
Metabolic,FTCD
Metabolic,GCDH
Metabolic,"ETFA, GA2, MADD"
Metabolic,"ETFB, MADD"
Metabolic,"ETFDH, MADD"
Metabolic,"GSS, GSHS"
Metabolic,GK
Metabolic,"AMT, NKH, GCE"
Metabolic,"GCSH, NKH"
Metabolic,"GLDC, HYGN1, GCSP, GCE, NKH"
Metabolic,GNMT
Metabolic,PHKG2
Metabolic,"PHKA2, PHK"
Metabolic,"PHKA2, PHK"
Metabolic,"G6PC, G6PT"
Metabolic,G6PT1
Metabolic,G6PT1
Metabolic,GAA
Metabolic,"LAMP2, LAMPB"
Metabolic,"AGL, GDE"
Metabolic,"AGL, GDE"
Metabolic,GBE1
Metabolic,GYS2
Metabolic,PYGL
Metabolic,PFKM
Metabolic,GLB1
Metabolic,GM2A
Metabolic,"HEXA, TSD"
Bone,"TMEM16E, GDD1"
Endocrine,"TPO, TPX"
Endocrine,"TG, AITD3"
multiple,KIAA1279
Endocrine,DHH
Endocrine,"SRY, TDF"
Metabolic,"BCS1L, FLNMS, GRACILE"
Immunological,"IL10, CSIF"
Endocrine,CTLA4
Endocrine,"GC, DBP"
Skeletal,"LBR, PHA"
Skeletal,"GLI3, PAPA, PAPB, ACLS"
Dermatological,"MYO5A, MYH12, GS1"
Dermatological,"RAB27A, RAM, GS2"
Dermatological,MLPH
Endocrine,GHRHR
Endocrine,STAT5B
Developmental,IGF1
multiple,"HOXA13, HOX1J"
Metabolic,OAT
Dermatological,"ATP2C1, BCPM, HHD"
multiple,"CTSC, CPPI, PALS, PLS, HMS"
multiple,"HOXA13, HOX1J"
Metabolic,CPO
Metabolic,"PANK2, NBIA1, PKAN, HARP"
Metabolic,"SLC6A19, HND"
multiple,"TP73L, TP63, KET, EEC3, SHFM4, LMS, RHS"
Metabolic,"ABCA1, ABC1, HDLDT1, TGD"
Metabolic,"ESR1, ESR"
"Ear,Nose,Throat","WFS1, WFRS, WFS, DFNA6"
Cardiovascular,"SCN5A, LQT3, IVF, HB1, SSS1"
Cardiovascular,"SCN5A, LQT3, IVF, HB1, SSS1"
Hematological,HBA2
Hematological,HBA1
Hematological,HBB
Metabolic,"HADHA, MTPA"
Cancer,VHL
Cancer,"FLT4, VEGFR3, PCL"
Cancer,KDR
Hematological,ELA2
Renal,COL4A4
Metabolic,HMOX1
Neurological,"CACNA1A, CACNL1A4, SCA6"
Metabolic,"HFE, HLA-H, HFE1"
Metabolic,"HAMP, LEAP1, HEPC, HFE2"
Metabolic,"HAMP, LEAP1, HEPC, HFE2"
Metabolic,"HJV, HFE2A"
Metabolic,"TFR2, HFE3"
Metabolic,"SLC40A1, SLC11A3, FPN1, IREG1, HFE4"
Hematological,HBA2
Hematological,AK1
Hematological,"SLC4A1, AE1, EPB3"
Hematological,BPGM
Hematological,"G6PD, G6PD1"
Hematological,"GCLC, GLCLC"
Hematological,GPI
Hematological,"GSS, GSHS"
Hematological,HK1
Hematological,"PGK1, PGKA"
Hematological,TPI1
Hematological,"HF1, CFH, HUS"
Hematological,"PRF1, HPLH2"
Hematological,"UNC13D, MUNC13-4, HPLH3, HLH3, FHL3"
Hematological,"F8, F8C, HEMA"
Hematological,"F9, HEMB"
Hematological,"PI, AAT"
Hematological,F5
Hematological,CP
Cancer,"TCF1, HNF1A, MODY3"
Gastrointestinal,"SCOD1, SCO1"
Metabolic,LIPC
Cancer,CTNNB1
Cancer,"PDGFRL, PDGRL, PRLTS"
Cancer,"AXIN1, AXIN"
Cancer,CTNNB1
Cancer,"TP53, P53, LFS1"
Cancer,"IGF2R, MPRI"
Cancer,MET
Cancer,"CASP8, MCH5"
Cardiovascular,"ENG, END, HHT1, ORW"
Cardiovascular,"ACVRL1, ACVRLK1, ALK1, HHT2"
Hematological,"AFP, HPAFP"
multiple,HPS1
multiple,HPS3
multiple,HPS4
multiple,"HPS5, RU2, KIAA1017"
multiple,"HPS6, RU"
multiple,"AP3B1, ADTB3A, HPS2"
multiple,"DTNBP1, HPS7"
multiple,"CFC1, CRYPTIC, HTX2"
multiple,"ZIC3, HTX1, HTX"
Neurological,"FLNA, FLN1, ABPX, NHBP, OPD1, OPD2, FMD, MNS"
Neurological,"FLNA, FLN1, ABPX, NHBP, OPD1, OPD2, FMD, MNS"
Neurological,"FLNA, FLN1, ABPX, NHBP, OPD1, OPD2, FMD, MNS"
Metabolic,"HEXA, TSD"
Hematological,KNG
Gastrointestinal,EDN3
Gastrointestinal,GDNF
Gastrointestinal,"NRTN, NTN"
Gastrointestinal,"RET, MEN2A"
Gastrointestinal,"EDNRB, HSCR2, ABCDS"
Gastrointestinal,ECE1
Gastrointestinal,"PMX2B, NBPHOX, PHOX2B"
Metabolic,"HAL, HSTD"
Cancer,"TP53, P53, LFS1"
Immunological,"CCL5, SCYA5, D17S136E, TCP228"
Immunological,"CCL5, SCYA5, D17S136E, TCP228"
Immunological,"IL10, CSIF"
Immunological,"CMKBR2, CCR2"
Immunological,"CMKBR5, CCCKR5"
Metabolic,HMGCL
Metabolic,HMGCS2
Metabolic,"HLCS, HCS"
Developmental,"SIX3, HPE2"
Developmental,"SHH, HPE3, HLP3, SMMCI"
Developmental,"TGIF, HPE4"
Developmental,"ZIC2, HPE5"
Developmental,"PTCH, NBCCS, BCNS, HPE7"
Developmental,TBX5
Metabolic,CTH
Metabolic,CBS
Metabolic,MTHFR
Metabolic,MTRR
multiple,"SLC3A1, ATR1, D2H, NBAT"
multiple,"DKC1, DKC"
Hematological,HBB
Hematological,HBG1
Hematological,HBG2
Metabolic,"HPRT1, HPRT"
Immunological,IFNGR1
Neurological,"HD, IT15"
Neurological,"PRNP, PRIP"
Neurological,"JPH3, JP3, HDL2"
Neurological,"TBP, SCA17"
multiple,"ANTXR2, CMG2, JHF, ISH"
Neurological,"L1CAM, CAML1, HSAS1"
Neurological,"L1CAM, CAML1, HSAS1"
Neurological,"L1CAM, CAML1, HSAS1"
Metabolic,CETP
Metabolic,"PYCS, GSAS"
Endocrine,"CYP21A2, CYP21, CA21H"
Metabolic,"PPARA, PPAR"
Gastrointestinal,"UGT1A1, UGT1, GNT1"
Renal,"SAC, HCA2"
Gastrointestinal,BAAT
Gastrointestinal,EPHX1
Gastrointestinal,"TJP2, ZO2"
Metabolic,"APOB, FLDB"
Metabolic,"LDLR, FHC, FH"
Metabolic,"PCSK9, NARC1, HCHOLA3, FH3"
Metabolic,"ARH, FHCB2, FHCB1"
Metabolic,EPHX2
Metabolic,APOA2
Metabolic,GSBS
Metabolic,"ITIH4, PK120, ITIHL1"
Neurological,"GLRA1, STHE"
Neurological,GLRB
Hematological,PDGFRA
Ophthamological,FTL
Immunological,"MVK, MVLK"
Metabolic,GCK
Metabolic,GLUD1
Neurological,"SCN4A, HYPP, NAC1A"
Neurological,"CCM1, CAM, KRIT1"
Metabolic,"USF1, HYPLIP1"
Metabolic,APOC2
Metabolic,"APOE, AD2"
Metabolic,AASS
Metabolic,"MAT1A, MATA1, SAMS1"
Metabolic,"AHCY, SAHH"
Metabolic,"SLC25A15, ORNT1, HHH"
Bone,"LRP5, BMND1, LRP7, LR3, OPPG, VBCH2"
Metabolic,"AGXT, SPAT"
Metabolic,"GRHPR, GLXR"
Endocrine,MEN1
Endocrine,"HRPT2, C1orf28"
Endocrine,"HRPT2, C1orf28"
Endocrine,"CASR, HHC1, PCAR1, FIH"
Metabolic,"PCBD, DCOH"
Metabolic,"PAH, PKU1"
Endocrine,INS
Metabolic,"PRODH, PRODH2, SCZD4"
Metabolic,"ALDH4A1, ALDH4, P5CDH"
Cardiovascular,REN
Hematological,F2
Cardiovascular,KCNMB1
Cardiovascular,"NR3C2, MLR, MCR"
Cardiovascular,"AGTR1, AGTR1A, AT2R1"
Cardiovascular,"PTGIS, CYP8A1, PGIS, CYP8"
Cardiovascular,ADD1
Cardiovascular,"AGT, SERPINA8"
Cardiovascular,ECE1
Cardiovascular,GNB3
Cardiovascular,"RETN, RSTN, FIZZ3"
Cardiovascular,"HSD11B2, HSD11K"
Cardiovascular,NOS3
Cardiovascular,"CYP3A5, P450PCN3"
Cardiovascular,NOS3
Endocrine,TSHR
